title,author,genre,image_url,isbn,location_code
"Fake, Volume 06",Sanami Matoh,Trinh thám,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347952918l/1019913.jpg,1591823315,K3-T3-H3-V35
"Fake, Volume 07",Sanami Matoh,Trinh thám,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389969759l/1019916.jpg,1591823323,K3-T3-H3-V36
"Fake, Volume 07",Sanami Matoh,Trinh thám,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389969759l/1019916.jpg,1591823323,K3-T3-H3-V37
"Fake, Volume 07",Sanami Matoh,Trinh thám,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389969759l/1019916.jpg,1591823323,K3-T3-H3-V38
"Fake, Volume 07",Sanami Matoh,Trinh thám,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389969759l/1019916.jpg,1591823323,K3-T3-H3-V39
"Fake, Volume 02",Sanami Matoh,Trinh thám,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347939426l/1019917.jpg,1591823277,K3-T3-H3-V40
"Fake, Volume 02",Sanami Matoh,Trinh thám,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347939426l/1019917.jpg,1591823277,K3-T3-H3-V41
"Fake, Volume 02",Sanami Matoh,Trinh thám,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347939426l/1019917.jpg,1591823277,K3-T3-H3-V42
"Fake, Volume 02",Sanami Matoh,Trinh thám,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347939426l/1019917.jpg,1591823277,K3-T3-H3-V43
"Fake, Volume 02",Sanami Matoh,Trinh thám,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347939426l/1019917.jpg,1591823277,K3-T3-H3-V44
"Fake, Volume 05",Sanami Matoh,Trinh thám,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389969759l/1019918.jpg,1591823307,K3-T3-H3-V45
"Fake, Volume 05",Sanami Matoh,Trinh thám,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389969759l/1019918.jpg,1591823307,K3-T3-H3-V46
"Fake, Volume 05",Sanami Matoh,Trinh thám,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389969759l/1019918.jpg,1591823307,K3-T3-H3-V47
"Fake, Volume 05",Sanami Matoh,Trinh thám,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389969759l/1019918.jpg,1591823307,K3-T3-H3-V48
"Fake, Volume 05",Sanami Matoh,Trinh thám,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389969759l/1019918.jpg,1591823307,K3-T3-H3-V49
"Fake, Volume 1","Sanami Matoh,Nan Rymer",Trinh thám,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347933451l/1019924.jpg,1591823269,K3-T3-H3-V50
Fairytales Slashed 2,"Megan Derr,Sasha L. Miller",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1378159122l/10016060.jpg,,K4-T1-H1-V1
Fairytales Slashed 2,"Megan Derr,Sasha L. Miller",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1378159122l/10016060.jpg,,K4-T1-H1-V2
Kosingas - Red Zmaja,Aleksandar TeÃÂ¡iÃâ¡,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329242235l/10018436.jpg,,K4-T1-H1-V3
Kosingas - Red Zmaja,Aleksandar TeÃÂ¡iÃâ¡,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329242235l/10018436.jpg,,K4-T1-H1-V4
The Real Mother Goose,Blanche Fisher Wright,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439507704l/1001896._SX318_.jpg,590225170,K4-T1-H1-V5
The Real Mother Goose,Blanche Fisher Wright,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439507704l/1001896._SX318_.jpg,590225170,K4-T1-H1-V6
The Real Mother Goose,Blanche Fisher Wright,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439507704l/1001896._SX318_.jpg,590225170,K4-T1-H1-V7
The Preservationist,David Maine,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316637488l/100223.jpg,312328486,K4-T1-H1-V8
The Preservationist,David Maine,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316637488l/100223.jpg,312328486,K4-T1-H1-V9
The Preservationist,David Maine,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316637488l/100223.jpg,312328486,K4-T1-H1-V10
The Preservationist,David Maine,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316637488l/100223.jpg,312328486,K4-T1-H1-V11
The Preservationist,David Maine,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316637488l/100223.jpg,312328486,K4-T1-H1-V12
Nastybook,Barry Yourgrau,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349073304l/1002451.jpg,60579803,K4-T1-H1-V13
The Kingdoms and the Elves of the Reaches,Robert Stanek,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388197710l/1002616.jpg,1575450593,K4-T1-H1-V14
The Kingdoms and the Elves of the Reaches,Robert Stanek,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388197710l/1002616.jpg,1575450593,K4-T1-H1-V15
The Kingdoms and the Elves of the Reaches,Robert Stanek,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388197710l/1002616.jpg,1575450593,K4-T1-H1-V16
The Kingdoms and the Elves of the Reaches,Robert Stanek,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388197710l/1002616.jpg,1575450593,K4-T1-H1-V17
Little Red Riding Hood,"Charles Perrault,Sarah Moon",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180134395l/1002694._SX318_.jpg,1568461437,K4-T1-H1-V18
Little Red Riding Hood,"Charles Perrault,Sarah Moon",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180134395l/1002694._SX318_.jpg,1568461437,K4-T1-H1-V19
Little Red Riding Hood,"Charles Perrault,Sarah Moon",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180134395l/1002694._SX318_.jpg,1568461437,K4-T1-H1-V20
Little Red Riding Hood,"Charles Perrault,Sarah Moon",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180134395l/1002694._SX318_.jpg,1568461437,K4-T1-H1-V21
Little Red Riding Hood,"Charles Perrault,Sarah Moon",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180134395l/1002694._SX318_.jpg,1568461437,K4-T1-H1-V22
The Mermaid Summer,Mollie Hunter,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180135955l/1002892.jpg,64403440,K4-T1-H1-V23
"Kilala Princess, Vol. 02","Rika Tanaka,Nao Kodaka",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1372405872l/1003034.jpg,,K4-T1-H1-V24
"Kilala Princess, Vol. 02","Rika Tanaka,Nao Kodaka",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1372405872l/1003034.jpg,,K4-T1-H1-V25
Otto of the Silver Hand,Howard Pyle,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344704515l/1003404.jpg,486217841,K4-T1-H1-V26
Otto of the Silver Hand,Howard Pyle,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344704515l/1003404.jpg,486217841,K4-T1-H1-V27
Otto of the Silver Hand,Howard Pyle,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344704515l/1003404.jpg,486217841,K4-T1-H1-V28
Otto of the Silver Hand,Howard Pyle,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344704515l/1003404.jpg,486217841,K4-T1-H1-V29
